시도,시군구,월,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,01월,105,0,143,37,93,13
서울,종로구,02월,75,1,103,33,62,8
서울,종로구,03월,113,0,145,37,93,15
서울,종로구,04월,119,0,149,31,108,10
서울,종로구,05월,151,0,189,52,119,18
서울,종로구,06월,95,1,135,22,88,25
서울,종로구,07월,122,1,175,34,121,20
서울,종로구,08월,96,0,135,24,86,25
서울,종로구,09월,102,2,138,30,93,15
서울,종로구,10월,106,1,146,30,103,13
서울,종로구,11월,98,0,133,32,83,18
서울,종로구,12월,117,3,157,39,102,16
서울,중구,01월,94,1,138,41,79,18
서울,중구,02월,84,0,111,35,67,9
서울,중구,03월,107,2,128,37,70,21
서울,중구,04월,129,1,169,42,106,21
서울,중구,05월,113,0,151,50,86,15
서울,중구,06월,102,0,144,40,92,12
서울,중구,07월,110,0,148,30,103,15
서울,중구,08월,106,1,146,31,100,15
서울,중구,09월,100,5,133,32,91,10
서울,중구,10월,136,4,172,41,111,20
서울,중구,11월,101,1,135,31,90,14
서울,중구,12월,106,2,141,37,94,10
서울,용산구,01월,101,0,134,29,96,9
서울,용산구,02월,81,0,119,28,84,7
서울,용산구,03월,111,2,157,42,109,6
서울,용산구,04월,142,2,176,41,125,10
서울,용산구,05월,134,0,195,52,132,11
서울,용산구,06월,107,0,146,39,95,12
서울,용산구,07월,107,1,142,33,103,6
서울,용산구,08월,121,1,192,33,141,18
서울,용산구,09월,119,1,165,33,118,14
서울,용산구,10월,135,2,208,53,141,14
서울,용산구,11월,132,3,205,32,149,24
서울,용산구,12월,138,0,230,43,155,32
서울,성동구,01월,83,0,124,32,73,19
서울,성동구,02월,62,0,101,31,59,11
서울,성동구,03월,109,3,146,33,91,22
서울,성동구,04월,90,3,138,32,85,21
서울,성동구,05월,111,1,135,39,78,18
서울,성동구,06월,89,3,130,35,75,20
서울,성동구,07월,89,0,127,35,73,19
서울,성동구,08월,99,2,145,33,87,25
서울,성동구,09월,75,1,106,31,60,15
서울,성동구,10월,98,1,135,44,72,19
서울,성동구,11월,100,1,127,29,76,22
서울,성동구,12월,94,0,127,37,71,19
서울,동대문구,01월,135,2,184,51,114,19
서울,동대문구,02월,151,1,202,62,119,21
서울,동대문구,03월,192,4,261,75,164,22
서울,동대문구,04월,155,0,196,45,127,24
서울,동대문구,05월,204,1,265,75,163,27
서울,동대문구,06월,192,0,233,64,142,27
서울,동대문구,07월,189,0,246,63,155,28
서울,동대문구,08월,137,0,169,37,119,13
서울,동대문구,09월,168,3,206,49,134,23
서울,동대문구,10월,204,0,272,71,180,21
서울,동대문구,11월,180,3,222,58,141,23
서울,동대문구,12월,144,0,173,62,101,10
서울,성북구,01월,129,0,162,45,108,9
서울,성북구,02월,108,2,135,23,101,11
서울,성북구,03월,148,0,197,43,144,10
서울,성북구,04월,147,2,195,41,145,9
서울,성북구,05월,150,4,187,54,120,13
서울,성북구,06월,124,0,167,39,121,7
서울,성북구,07월,127,3,168,42,118,8
서울,성북구,08월,138,1,175,35,133,7
서울,성북구,09월,139,0,186,52,126,8
서울,성북구,10월,133,1,167,45,116,6
서울,성북구,11월,142,0,184,42,136,6
서울,성북구,12월,133,0,183,39,132,12
서울,도봉구,01월,67,1,94,26,56,12
서울,도봉구,02월,77,3,101,26,63,12
서울,도봉구,03월,76,1,93,25,55,13
서울,도봉구,04월,98,0,152,47,89,16
서울,도봉구,05월,72,1,104,25,57,22
서울,도봉구,06월,82,0,110,39,52,19
서울,도봉구,07월,76,0,98,22,65,11
서울,도봉구,08월,83,1,110,32,57,21
서울,도봉구,09월,71,0,87,19,59,9
서울,도봉구,10월,87,2,128,32,77,19
서울,도봉구,11월,77,1,99,30,60,9
서울,도봉구,12월,83,1,130,32,85,13
서울,은평구,01월,76,1,102,33,66,3
서울,은평구,02월,83,2,118,36,70,12
서울,은평구,03월,88,0,126,29,70,27
서울,은평구,04월,94,2,118,35,79,4
서울,은평구,05월,108,3,141,40,86,15
서울,은평구,06월,108,0,131,36,84,11
서울,은평구,07월,103,2,138,36,90,12
서울,은평구,08월,98,0,150,36,99,15
서울,은평구,09월,95,1,133,36,87,10
서울,은평구,10월,94,1,126,42,69,15
서울,은평구,11월,74,1,106,37,59,10
서울,은평구,12월,100,1,129,37,80,12
서울,서대문구,01월,87,2,122,24,82,16
서울,서대문구,02월,92,0,126,31,84,11
서울,서대문구,03월,98,0,142,38,89,15
서울,서대문구,04월,82,1,111,31,66,14
서울,서대문구,05월,90,2,109,31,60,18
서울,서대문구,06월,82,1,99,26,63,10
서울,서대문구,07월,73,1,96,21,67,8
서울,서대문구,08월,106,0,164,35,104,25
서울,서대문구,09월,94,1,139,19,92,28
서울,서대문구,10월,127,3,179,38,122,19
서울,서대문구,11월,97,1,138,29,95,14
서울,서대문구,12월,107,2,141,42,76,23
서울,마포구,01월,136,3,213,49,142,22
서울,마포구,02월,116,4,163,43,97,23
서울,마포구,03월,143,0,212,52,146,14
서울,마포구,04월,136,0,208,47,143,18
서울,마포구,05월,145,1,203,49,124,30
서울,마포구,06월,139,2,219,43,148,28
서울,마포구,07월,148,1,206,49,147,10
서울,마포구,08월,158,1,236,45,175,16
서울,마포구,09월,153,1,219,61,141,17
서울,마포구,10월,178,0,283,57,200,26
서울,마포구,11월,144,1,192,42,135,15
서울,마포구,12월,172,1,251,50,177,24
서울,강서구,01월,141,3,194,29,145,20
서울,강서구,02월,138,1,189,30,143,16
서울,강서구,03월,139,2,169,39,110,20
서울,강서구,04월,159,0,196,45,133,18
서울,강서구,05월,153,0,201,41,132,28
서울,강서구,06월,140,1,177,39,122,16
서울,강서구,07월,145,1,181,49,111,21
서울,강서구,08월,146,2,205,57,134,14
서울,강서구,09월,137,0,187,43,135,9
서울,강서구,10월,138,2,182,44,129,9
서울,강서구,11월,131,1,166,34,112,20
서울,강서구,12월,124,0,183,34,130,19
서울,구로구,01월,95,2,141,41,90,10
서울,구로구,02월,95,1,135,38,88,9
서울,구로구,03월,121,0,170,52,106,12
서울,구로구,04월,141,0,197,50,129,18
서울,구로구,05월,135,0,188,50,122,16
서울,구로구,06월,114,2,167,46,117,4
서울,구로구,07월,134,0,188,48,124,16
서울,구로구,08월,128,0,174,42,118,14
서울,구로구,09월,152,1,208,62,127,19
서울,구로구,10월,161,1,239,51,171,17
서울,구로구,11월,113,1,154,44,96,14
서울,구로구,12월,122,1,178,46,113,19
서울,영등포구,01월,181,4,267,56,191,20
서울,영등포구,02월,154,0,215,53,147,15
서울,영등포구,03월,194,1,278,66,188,24
서울,영등포구,04월,208,2,315,74,211,30
서울,영등포구,05월,231,2,330,58,223,49
서울,영등포구,06월,189,1,272,50,194,28
서울,영등포구,07월,204,3,274,50,197,27
서울,영등포구,08월,190,2,269,50,191,28
서울,영등포구,09월,204,0,306,70,209,27
서울,영등포구,10월,217,4,300,66,208,26
서울,영등포구,11월,202,3,272,59,186,27
서울,영등포구,12월,229,0,375,61,282,32
서울,동작구,01월,127,1,164,37,108,19
서울,동작구,02월,104,2,156,23,128,5
서울,동작구,03월,116,1,168,39,103,26
서울,동작구,04월,140,4,176,34,118,24
서울,동작구,05월,121,3,149,38,93,18
서울,동작구,06월,111,1,146,28,97,21
서울,동작구,07월,126,1,191,37,129,25
서울,동작구,08월,118,0,158,41,103,14
서울,동작구,09월,125,1,175,35,129,11
서울,동작구,10월,124,1,153,34,106,13
서울,동작구,11월,111,1,171,36,131,4
서울,동작구,12월,148,3,221,46,166,9
서울,관악구,01월,115,2,150,35,99,16
서울,관악구,02월,95,3,133,24,100,9
서울,관악구,03월,121,1,159,39,110,10
서울,관악구,04월,132,2,199,54,129,16
서울,관악구,05월,145,2,192,51,131,10
서울,관악구,06월,110,1,142,39,94,9
서울,관악구,07월,141,0,184,48,121,15
서울,관악구,08월,90,1,131,26,97,8
서울,관악구,09월,118,0,161,40,109,12
서울,관악구,10월,130,1,184,43,119,22
서울,관악구,11월,97,3,110,27,75,8
서울,관악구,12월,114,3,150,28,105,17
서울,강남구,01월,282,0,420,81,281,58
서울,강남구,02월,245,0,356,59,257,40
서울,강남구,03월,325,3,423,83,302,38
서울,강남구,04월,333,0,454,91,310,53
서울,강남구,05월,330,1,447,106,283,58
서울,강남구,06월,341,3,489,110,330,49
서울,강남구,07월,354,1,501,100,352,49
서울,강남구,08월,323,0,449,98,295,56
서울,강남구,09월,311,0,442,94,285,63
서울,강남구,10월,336,3,504,93,332,79
서울,강남구,11월,318,0,457,86,328,43
서울,강남구,12월,330,1,503,90,352,61
서울,강동구,01월,103,1,147,36,107,4
서울,강동구,02월,124,2,162,50,101,11
서울,강동구,03월,118,2,177,57,100,20
서울,강동구,04월,135,0,193,51,128,14
서울,강동구,05월,124,2,161,35,110,16
서울,강동구,06월,114,0,150,40,101,9
서울,강동구,07월,134,4,175,40,119,16
서울,강동구,08월,123,0,159,45,98,16
서울,강동구,09월,108,2,156,38,98,20
서울,강동구,10월,110,1,149,42,89,18
서울,강동구,11월,119,1,166,46,101,19
서울,강동구,12월,114,2,162,34,113,15
서울,송파구,01월,213,0,298,71,189,38
서울,송파구,02월,171,4,218,55,136,27
서울,송파구,03월,220,0,314,67,213,34
서울,송파구,04월,224,1,324,74,202,48
서울,송파구,05월,205,0,293,77,181,35
서울,송파구,06월,232,2,307,74,183,50
서울,송파구,07월,225,1,324,62,190,72
서울,송파구,08월,227,0,319,66,206,47
서울,송파구,09월,231,1,318,77,189,52
서울,송파구,10월,226,0,309,66,195,48
서울,송파구,11월,214,2,295,62,196,37
서울,송파구,12월,210,3,327,61,228,38
서울,서초구,01월,173,2,238,56,166,16
서울,서초구,02월,164,0,244,51,168,25
서울,서초구,03월,187,2,277,54,183,40
서울,서초구,04월,191,1,330,70,225,35
서울,서초구,05월,199,1,272,61,186,25
서울,서초구,06월,189,0,310,60,205,45
서울,서초구,07월,226,3,316,62,223,31
서울,서초구,08월,180,1,307,56,184,67
서울,서초구,09월,176,1,234,49,162,23
서울,서초구,10월,206,3,318,57,225,36
서울,서초구,11월,220,2,329,65,225,39
서울,서초구,12월,202,0,298,52,217,29
서울,양천구,01월,119,1,165,33,113,19
서울,양천구,02월,89,2,124,34,79,11
서울,양천구,03월,124,2,159,38,102,19
서울,양천구,04월,117,2,161,41,111,9
서울,양천구,05월,141,0,192,42,123,27
서울,양천구,06월,118,1,166,34,110,22
서울,양천구,07월,118,1,163,24,119,20
서울,양천구,08월,122,1,178,36,131,11
서울,양천구,09월,128,0,183,40,123,20
서울,양천구,10월,150,0,213,37,156,20
서울,양천구,11월,136,2,166,37,115,14
서울,양천구,12월,131,0,186,42,128,16
서울,중랑구,01월,126,0,164,36,113,15
서울,중랑구,02월,101,0,139,26,102,11
서울,중랑구,03월,131,0,175,35,119,21
서울,중랑구,04월,118,2,141,33,95,13
서울,중랑구,05월,122,0,153,39,99,15
서울,중랑구,06월,142,0,184,37,129,18
